Epoch: 0, Loss: 2.67, Accuracy: 0.19,             Test Accuracy: 0.34, Test loss: 2.26, Time: 0:00:21.569721
Epoch: 1, Loss: 1.73, Accuracy: 0.48,             Test Accuracy: 0.53, Test loss: 1.55, Time: 0:00:42.494390
Epoch: 2, Loss: 1.16, Accuracy: 0.65,             Test Accuracy: 0.51, Test loss: 2.48, Time: 0:01:04.341179
Epoch: 3, Loss: 0.83, Accuracy: 0.76,             Test Accuracy: 0.74, Test loss: 0.91, Time: 0:01:25.150075
Epoch: 4, Loss: 0.57, Accuracy: 0.83,             Test Accuracy: 0.80, Test loss: 0.74, Time: 0:01:46.139906
Epoch: 5, Loss: 0.43, Accuracy: 0.87,             Test Accuracy: 0.82, Test loss: 0.74, Time: 0:02:07.122566
Epoch: 6, Loss: 0.31, Accuracy: 0.91,             Test Accuracy: 0.85, Test loss: 0.51, Time: 0:02:28.232367
Epoch: 7, Loss: 0.20, Accuracy: 0.94,             Test Accuracy: 0.87, Test loss: 0.48, Time: 0:02:48.926289
Epoch: 8, Loss: 0.15, Accuracy: 0.95,             Test Accuracy: 0.83, Test loss: 0.74, Time: 0:03:10.356913
Epoch: 9, Loss: 0.14, Accuracy: 0.96,             Test Accuracy: 0.91, Test loss: 0.36, Time: 0:03:31.304875
Epoch: 10, Loss: 0.07, Accuracy: 0.98,             Test Accuracy: 0.90, Test loss: 0.44, Time: 0:03:52.944268
Epoch: 11, Loss: 0.05, Accuracy: 0.99,             Test Accuracy: 0.92, Test loss: 0.35, Time: 0:04:14.278800
Epoch: 12, Loss: 0.03, Accuracy: 0.99,             Test Accuracy: 0.93, Test loss: 0.28, Time: 0:04:35.431959
Epoch: 13, Loss: 0.01, Accuracy: 1.00,             Test Accuracy: 0.94, Test loss: 0.25, Time: 0:04:56.855626
Epoch: 14, Loss: 0.00, Accuracy: 1.00,             Test Accuracy: 0.95, Test loss: 0.24, Time: 0:05:18.198989
Epoch: 15, Loss: 0.00, Accuracy: 1.00,             Test Accuracy: 0.95, Test loss: 0.24, Time: 0:05:39.546160
Epoch: 16, Loss: 0.00, Accuracy: 1.00,             Test Accuracy: 0.95, Test loss: 0.24, Time: 0:06:01.132743
Epoch: 17, Loss: 0.00, Accuracy: 1.00,             Test Accuracy: 0.95, Test loss: 0.24, Time: 0:06:22.678737
Epoch: 18, Loss: 0.00, Accuracy: 1.00,             Test Accuracy: 0.95, Test loss: 0.24, Time: 0:06:44.227326
Epoch: 19, Loss: 0.00, Accuracy: 1.00,             Test Accuracy: 0.95, Test loss: 0.24, Time: 0:07:05.558383
