Epoch: 0, Loss: 2.67, Accuracy: 0.16,             Test Accuracy: 0.25, Test loss: 2.34, Time: 0:00:29.440259
Epoch: 1, Loss: 1.90, Accuracy: 0.40,             Test Accuracy: 0.52, Test loss: 1.56, Time: 0:00:58.563211
Epoch: 2, Loss: 1.43, Accuracy: 0.56,             Test Accuracy: 0.63, Test loss: 1.23, Time: 0:01:27.725439
Epoch: 3, Loss: 1.17, Accuracy: 0.65,             Test Accuracy: 0.70, Test loss: 1.06, Time: 0:01:56.529155
Epoch: 4, Loss: 1.01, Accuracy: 0.71,             Test Accuracy: 0.67, Test loss: 1.24, Time: 0:02:25.850809
Epoch: 5, Loss: 0.86, Accuracy: 0.76,             Test Accuracy: 0.66, Test loss: 1.21, Time: 0:02:55.418272
Epoch: 6, Loss: 0.77, Accuracy: 0.79,             Test Accuracy: 0.79, Test loss: 0.74, Time: 0:03:24.721520
Epoch: 7, Loss: 0.62, Accuracy: 0.83,             Test Accuracy: 0.82, Test loss: 0.65, Time: 0:03:53.745140
Epoch: 8, Loss: 0.49, Accuracy: 0.87,             Test Accuracy: 0.86, Test loss: 0.52, Time: 0:04:22.540158
Epoch: 9, Loss: 0.41, Accuracy: 0.89,             Test Accuracy: 0.86, Test loss: 0.53, Time: 0:04:51.623841
Epoch: 10, Loss: 0.33, Accuracy: 0.91,             Test Accuracy: 0.89, Test loss: 0.40, Time: 0:05:20.253606
Epoch: 11, Loss: 0.24, Accuracy: 0.94,             Test Accuracy: 0.89, Test loss: 0.39, Time: 0:05:49.098517
Epoch: 12, Loss: 0.18, Accuracy: 0.95,             Test Accuracy: 0.89, Test loss: 0.47, Time: 0:06:17.938005
Epoch: 13, Loss: 0.10, Accuracy: 0.97,             Test Accuracy: 0.92, Test loss: 0.37, Time: 0:06:47.415988
Epoch: 14, Loss: 0.07, Accuracy: 0.98,             Test Accuracy: 0.92, Test loss: 0.36, Time: 0:07:16.318958
Epoch: 15, Loss: 0.04, Accuracy: 0.99,             Test Accuracy: 0.93, Test loss: 0.34, Time: 0:07:46.126752
Epoch: 16, Loss: 0.02, Accuracy: 1.00,             Test Accuracy: 0.94, Test loss: 0.33, Time: 0:08:15.132601
Epoch: 17, Loss: 0.01, Accuracy: 1.00,             Test Accuracy: 0.94, Test loss: 0.33, Time: 0:08:43.958313
Epoch: 18, Loss: 0.01, Accuracy: 1.00,             Test Accuracy: 0.94, Test loss: 0.33, Time: 0:09:12.747788
Epoch: 19, Loss: 0.01, Accuracy: 1.00,             Test Accuracy: 0.94, Test loss: 0.33, Time: 0:09:41.767889
